cell,cycle_name,cycle_number,capacity_mAh,temp_mean,temp_max,pmax_full_36_42,pmax_voltage_full_36_42,ic_area_full_36_42,ic_mean_full_36_42,ic_std_full_36_42,peak_width_full_36_42,q_delta_window_full_36_42,charge_time_window_full_36_42,dva_mean_full_36_42,dva_std_full_36_42,dva_abs_mean_full_36_42,temp_mean_window_full_36_42,temp_max_window_full_36_42,pmax_medium_37_40,pmax_voltage_medium_37_40,ic_area_medium_37_40,ic_mean_medium_37_40,ic_std_medium_37_40,peak_width_medium_37_40,q_delta_window_medium_37_40,charge_time_window_medium_37_40,dva_mean_medium_37_40,dva_std_medium_37_40,dva_abs_mean_medium_37_40,temp_mean_window_medium_37_40,temp_max_window_medium_37_40,pmax_narrow_375_395,pmax_voltage_narrow_375_395,ic_area_narrow_375_395,ic_mean_narrow_375_395,ic_std_narrow_375_395,peak_width_narrow_375_395,q_delta_window_narrow_375_395,charge_time_window_narrow_375_395,dva_mean_narrow_375_395,dva_std_narrow_375_395,dva_abs_mean_narrow_375_395,temp_mean_window_narrow_375_395,temp_max_window_narrow_375_395,pmax_very_narrow_38_39,pmax_voltage_very_narrow_38_39,ic_area_very_narrow_38_39,ic_mean_very_narrow_38_39,ic_std_very_narrow_38_39,peak_width_very_narrow_38_39,q_delta_window_very_narrow_38_39,charge_time_window_very_narrow_38_39,dva_mean_very_narrow_38_39,dva_std_very_narrow_38_39,dva_abs_mean_very_narrow_38_39,temp_mean_window_very_narrow_38_39,temp_max_window_very_narrow_38_39,soh,pmax_norm_full_36_42,pmax_norm_medium_37_40,pmax_norm_narrow_375_395,pmax_norm_very_narrow_38_39,soh_rolling_median,soh_outlier,soh_delta
Cell1,cyc0000,0,739.1109210621779,40.0495192045584,41.295536,4473.698097013704,3.8128256513026053,612.2218804393876,1019.5672641886576,771.6642278580525,0.03847695390781558,612.2601472485997,0.03433642792515457,0.001273357876324936,0.00047629357047602875,0.001273357876324936,40.00237960411051,40.475796,5024.225079159419,3.8127374749498997,411.91486734913633,1373.9757984688933,992.4353914913099,0.03181062124248468,411.94453420197215,0.023101851576939225,0.0009994370703397867,0.00047845793050107805,0.0009994370703397867,39.883044696544815,40.413387,5146.061089140716,3.8121,337.77962639881827,1690.467854486755,1082.0395534464099,0.03039999999999976,338.05844876773074,0.01895833306480199,0.000773032737109442,0.0003360278099298007,0.000773032737109442,39.802791165954844,40.363483,5244.640539112529,3.8122244488977954,234.3236272006017,2342.4298846588786,1193.5350528754252,0.032264529058116054,234.24707426677452,0.013136573834344745,0.000524203344797946,0.00020479084690596118,0.000524203344797946,39.68489451320423,40.188721,1.0,1.0,1.0,1.0,1.0,0.9879341903869114,False,
Cell1,cyc0100,100,730.1929494056872,39.99398311893764,40.980995,4232.020652877116,3.8128547094188376,606.8476936376479,1010.935851618384,735.0103085664614,0.04086813627254493,606.950958606971,0.034039310179650784,0.0012734289924054188,0.0004769357047019697,0.0012734289924054188,39.94778350543847,40.413387,4747.868432456069,3.8124124248496996,407.65656292219046,1358.8853643014147,932.5389671933189,0.033633667334669326,407.6139895055339,0.02285876835230738,0.0009930093197736,0.0004706516970569761,0.0009930093197736,39.82776433906882,40.363483,4875.052025682223,3.811861723446894,333.9223019224056,1669.579893617575,1003.9073054052548,0.03243246492985952,334.0430057300009,0.018738403101451695,0.0007635301720535765,0.0003188246060232774,0.0007635301720535765,39.74809797407408,40.28857,4903.208290203285,3.811565130260521,226.36806995997443,2274.3622342075846,1098.9857445544742,0.03230260521042139,226.4150115619337,0.012696743826381862,0.0005292908355380663,0.00019756003013522765,0.0005292908355380663,39.63452510837887,40.126312,0.9879341903869114,0.9459781507612431,0.9449951699318404,0.9473366019633191,0.9348988274100061,0.9849263794597689,False,-0.012065809613088563
Cell1,cyc0200,200,725.7467375962049,39.99257669892472,41.243099,4145.746035731732,3.81298376753507,603.8530731580865,1006.2774050307606,721.3311493650931,0.04205611222444894,603.8993774542779,0.03387592372018844,0.0012762404658281192,0.00048001894182639375,0.0012762404658281192,39.94796209118852,40.413387,4652.918815688256,3.813213026052104,405.2884409739256,1350.938285684832,909.9850408610694,0.03423426853707401,405.1093813389994,0.022731448989361525,0.0009930206259537307,0.00046938689472278856,0.0009930206259537307,39.82679886259542,40.37595,4782.6048418459495,3.8126312625250502,331.8342769870035,1659.9268994457168,973.6631659472768,0.03241623246492997,331.84978058058334,0.018611084553413093,0.0007612383608861764,0.000313586353777749,0.0007612383608861764,39.746940268489745,40.338512,4885.8038407271015,3.812412424849699,223.5190057289894,2236.7785321864794,1068.7966666643927,0.032832865731462935,223.70715000483534,0.01254627841990441,0.0005358198877620476,0.0001981754842785346,0.0005358198877620476,39.634933448339474,40.16375,0.9819185685326265,0.9266932962014386,0.9260968094340859,0.9293719524508296,0.9315803064653602,0.9819185685326265,False,-0.006015621854284947
Cell1,cyc0300,300,722.8431973239306,40.00688269536037,40.928558,4063.8707769394887,3.814021042084168,602.3873774694143,1003.6956807606405,711.3699158110933,0.04326492985971919,602.5889086835987,0.03378862456884235,0.0012778718167162663,0.0004834175061594666,0.0012778718167162663,39.96333676206778,40.438362,4525.434837643649,3.813651503006012,403.85586240203725,1345.745138878302,892.8608666506295,0.036048096192384804,403.87103645119726,0.022650462691672146,0.0009939716483125458,0.0004700756399988816,0.0009939716483125458,39.837355445863125,40.363483,4670.819380113328,3.81339498997996,330.8237741275621,1653.2367210179386,950.5786321412073,0.03405110220440877,330.6925901886054,0.018553240573965013,0.0007604161655472748,0.00031266510693051577,0.0007604161655472748,39.7553834127182,40.313541,4774.898997595022,3.8131,221.1811282926989,2215.0183716266697,1036.7586772583288,0.03259999999999996,221.3895151037632,0.012418981408700347,0.0005381415047406109,0.0001964943419831381,0.0005381415047406109,39.640038963687154,40.126312,0.9779901456267633,0.9083918245739953,0.9007229505730623,0.9076494233560016,0.9104339872267023,0.9779901456267633,False,-0.003928422905863149
Cell1,cyc0400,400,718.3668958430143,39.98891699559342,40.862762,3959.9680570457863,3.815322845691383,599.7590222941031,999.3108511743046,697.3089619484406,0.04566853707414831,599.7764620160793,0.03363945195451379,0.0012798788044408758,0.0004842491408874228,0.0012798788044408758,39.9468767713205,40.438362,4407.704913903549,3.8150148296593187,401.8427858479658,1339.4732667388912,870.6803567340615,0.03723727454909831,401.8658050229153,0.02253469475544989,0.0009932421758211054,0.0004696984286493672,0.0009932421758211054,39.82219811190964,40.37595,4536.909503588408,3.8145645290581163,329.1820482342765,1645.898861077859,920.118894610876,0.035635671342685526,329.2151264853481,0.018460625666193664,0.0007571551754018942,0.0003073363512512613,0.0007571551754018942,39.741565918546364,40.28857,4650.240273874982,3.8139,218.8672926805263,2191.884523223111,997.1294417889079,0.034600000000000186,218.5824276249593,0.012291651568375528,0.000538907189668328,0.00019259352585219506,0.000538907189668328,39.63400915522107,40.113808,0.971933813142211,0.8851665828074442,0.8772904964363146,0.8816276031316949,0.8866652040678983,0.971933813142211,False,-0.006056332484552396
Cell1,cyc0500,500,714.9787006955092,40.01196160979929,41.085831,3870.732360763957,3.8152228456913826,598.074400808476,996.4960154949936,686.4485319435236,0.04687034068136242,598.0852558774211,0.03354161872994155,0.0012808186740320459,0.00048514780235431397,0.0012808186740320459,39.97162444946533,40.475796,4263.830004398346,3.8156999999999996,400.1455715564158,1335.185222006698,852.0680737347888,0.04079999999999995,400.1830966762729,0.02244209754280746,0.0009923651674917128,0.000467748071099036,0.0009923651674917128,39.846590611340204,40.413387,4348.992818985233,3.8145645290581163,328.00739062882735,1640.031293279845,893.183370788964,0.03963967935871748,327.94977753461706,0.018391177407465875,0.0007548219234835087,0.00030282328614460196,0.0007548219234835087,39.76711981509434,40.326008,4435.107288563576,3.8142284569138276,217.51806530127686,2174.398600458849,960.1805191791102,0.037274549098196275,217.22110028091265,0.012199056567624211,0.0005408593016760872,0.0001939013682641716,0.0005408593016760872,39.662445560189575,40.138779,0.9673496633874815,0.8652198420246014,0.8486542575659666,0.845110997256238,0.8456456177479156,0.9673496633874815,False,-0.004584149754729427
Cell1,cyc0600,600,711.6204053941345,39.98032709314742,40.862762,3769.6287152082023,3.8165246492985974,596.5115932155131,993.9071323555311,675.40790468699,0.050475751503006094,596.6335913627048,0.03346001694444567,0.0012811901534108565,0.00048554135926215245,0.0012811901534108565,39.94217658540802,40.400921,4137.206623750078,3.816177354709419,398.93014050399813,1330.2544173755273,834.3237204593376,0.04382925851703412,398.9397133804762,0.02237265312578529,0.0009924155755548004,0.000468269371589229,0.0009924155755548004,39.81769936918303,40.350979,4233.482503828605,3.8162661322645293,326.63486651799656,1633.0095100232268,870.9366231220599,0.041641683366733684,326.5003788496942,0.018310159095562994,0.0007547294109133577,0.00030238434803809633,0.0007547294109133577,39.73935287049905,40.28857,4229.5370674133665,3.8168336673346692,216.01119531687107,2158.90012464396,924.2526804488251,0.03927855711422845,215.8094122132353,0.01211803825572133,0.000541402785738099,0.00019259699088503856,0.000541402785738099,39.63645551908397,40.151283,0.9628059674337693,0.8426202737561831,0.8234516882834906,0.8226646420428538,0.8064493716721083,0.9628059674337693,False,-0.004543695953712179
Cell1,cyc0700,700,709.5321170323996,40.056580958085604,40.950142,3682.0832773653774,3.8164607214428856,594.3544559573563,990.1319431814997,664.8274612020028,0.05288817635270515,594.4083012614594,0.033445027424022555,0.0012842697046179178,0.0004878725975299014,0.0012842697046179178,40.015114413005875,40.488304,4026.082721461758,3.816577755511022,397.06213058151076,1324.0051890250668,816.9197077375585,0.046230861723446814,397.00587848931036,0.022337962756864727,0.000994755015321899,0.00047076846296457037,0.000994755015321899,39.88518899326774,40.438362,4097.23334545713,3.8162330661322645,325.5145865284944,1628.479039754727,844.3237256162099,0.0448224448897796,325.6271456071184,0.018321759067475796,0.0007506948889734975,0.0002953185150338239,0.0007506948889734975,39.803275451388885,40.338512,4134.388203948287,3.8172655310621244,214.16299170727856,2149.606758523221,885.815782920038,0.041915831663326575,214.27357212869154,0.01207175909075886,0.0005388908545463801,0.0001878047288525898,0.0005388908545463801,39.69091605752636,40.201187,0.9599805615275302,0.8230513542751695,0.8013340680460407,0.7961882446563187,0.7883072582602366,0.9599805615275302,False,-0.0028254059062391423
Cell1,cyc0800,800,705.8480111354505,40.067159624514204,40.925171,3581.86292191488,3.8175627254509017,592.2188220220585,986.5807836198445,652.5623911093311,0.055292184368737285,592.4034701468618,0.03333391749765724,0.0012857041950344445,0.0004882144854914037,0.0012857041950344445,40.02643966296424,40.525742,3878.2991856393014,3.8172563126252506,395.6392909862798,1318.3386583748115,796.5325408260304,0.04986653306613231,395.55207805255554,0.02225691732019186,0.0009943993127469483,0.0004694377164212074,0.0009943993127469483,39.90017429573805,40.475796,3955.970579735228,3.8170669338677357,324.1497390058801,1620.8249188734321,817.0662252264076,0.048048096192384815,324.1766424909676,0.018240718403831124,0.0007495216264336003,0.00029286184116998143,0.0007495216264336003,39.82080654850982,40.37595,3927.4691826127573,3.81621623246493,212.93464831513785,2130.827788779949,847.8090855901206,0.04584589178356735,213.20417190012705,0.012002300121821463,0.0005397250403432039,0.0001855585796696294,0.0005397250403432039,39.71734303853564,40.213692,0.9549960513654362,0.8006492267115334,0.7719198731216402,0.7687375861283823,0.7488538353244975,0.9549960513654362,False,-0.0049845101620940024
Cell1,cyc0900,900,702.5449768529222,40.05644902433893,41.025017,3496.1469445681814,3.817698997995992,590.9298055072791,984.2915423709683,641.2073897058723,0.0589080160320643,591.0788146073537,0.03326001949608326,0.0012851300783642563,0.0004876273597002986,0.0012851300783642563,40.01737376556521,40.513237,3760.18086159965,3.8178428857715434,393.89788293723905,1316.1556767797683,777.6435359372774,0.05272945891783554,394.1020573079283,0.022175894118845463,0.0009900727846594664,0.0004648070301585879,0.0009900727846594664,39.890231950965045,40.438362,3831.7143520638265,3.8181022044088175,322.93316284138575,1613.8720246154173,791.4041011244254,0.05167755511022021,322.9344682463201,0.01817127037793398,0.0007485630711873754,0.00029172080302115037,0.0007485630711873754,39.81106599045194,40.350979,3874.2132439351153,3.8179,211.25370158599569,2116.4378746713573,808.7135174688968,0.04559999999999986,211.3481238575567,0.011898131109774113,0.0005387816516181165,0.00018133056885723256,0.0005387816516181165,39.70741421887159,40.201187,0.9505271222934892,0.7814892441897096,0.7484101134714191,0.7445916956076482,0.7386994809353874,0.9505271222934892,False,-0.004468929071946959
Cell1,cyc1000,1000,699.4156477527364,40.01495668548144,40.912663,3407.3331928761636,3.818964729458918,589.4838768807065,982.037652098625,630.2880699137157,0.06250420841683368,589.4964927078437,0.03317124885506928,0.001284674214136644,0.0004869564757469736,0.001284674214136644,39.97596649633763,40.488304,3655.6940499965003,3.8184579158316634,393.11709482302945,1309.9395887407604,760.499591579461,0.05647535070140286,393.0682055593516,0.02211802394594997,0.0009918960903427274,0.0004671214548056427,0.0009918960903427274,39.84464154759413,40.400921,3721.445846147953,3.8185342685370744,321.701384546485,1609.3744086929164,767.7596368665116,0.055627855711422924,321.6949892895898,0.01810182596091181,0.000745690821516177,0.00028849851177072783,0.000745690821516177,39.763359246645365,40.301033,3770.674314262286,3.817917835671343,209.78478247945685,2099.001888321653,773.6687496394246,0.04924929859719418,209.69844056610964,0.011817112797871232,0.0005391335861661159,0.000177282819597067,0.0005391335861661159,39.66203767906066,40.126312,0.9462932123200191,0.761636820140062,0.7276135110189209,0.7231639464990021,0.7189576265793689,0.9462932123200191,False,-0.0042339099734701735
Cell1,cyc1100,1100,696.2835912151658,40.08509525720353,40.975075,3317.409017627781,3.8191458917835672,587.7925952885652,980.2043812421368,618.8601801311115,0.06604408817635266,587.9104853655235,0.033085890929214656,0.0012832755375382682,0.0004858275021492382,0.0012832755375382682,40.044285045454544,40.538208,3552.177167553922,3.819020641282565,391.6306471283581,1307.6530460525537,741.5548545655023,0.05995991983967919,391.6261858941082,0.022048780578188598,0.000987300853969709,0.0004615945584813428,0.000987300853969709,39.90767805194124,40.500771,3601.88622720068,3.818934468937876,320.66015236119705,1604.2203451591988,740.7778488706,0.058829458917835975,320.6643894894587,0.01804412016645074,0.0007419766979931822,0.00028199585754865524,0.0007419766979931822,39.823549931410255,40.388416,3646.1340358949506,3.8197,208.08676036658684,2084.2967325695736,737.7705157785531,0.05160000000000009,208.35924732863438,0.011724627111107111,0.000538551022250226,0.00017268201943752728,0.000538551022250226,39.715431059230006,40.201187,0.9420556121867812,0.7415361845365085,0.7070099590658111,0.6999307168741985,0.695211427495073,0.9420556121867812,False,-0.004237600133237818
Cell1,cyc1200,1200,693.2672854322545,40.03864881962219,40.937637,3227.7412695818734,3.8201300601202406,586.8025881611522,977.7366230330243,608.4869287993484,0.0697046092184368,586.908082238789,0.033026015502400696,0.0012832530627404242,0.00048501035931842806,0.0012832530627404242,39.99759591730904,40.500771,3436.6996010911557,3.8198999999999996,390.7002839843924,1303.6219640643344,724.5680441620565,0.06359999999999966,390.80301898470657,0.021990909823216498,0.0009861011486583706,0.00046069060660067896,0.0009861011486583706,39.86010357653866,40.425896,3467.619214795915,3.8187314629258515,319.39577723464345,1600.2470925758828,717.3441884116318,0.0631366733466936,319.22434869863457,0.017963101039640605,0.0007389600337891822,0.0002778823798222309,0.0007389600337891822,39.773985366387635,40.326008,3491.557389343259,3.8182635270541083,206.48944739726724,2072.4484332684588,699.8738121812628,0.05289378757515051,206.50830323357224,0.011620459728874266,0.0005366809833932737,0.0001662327991249811,0.0005366809833932737,39.66794566368159,40.16375,0.9379746201503268,0.721492867776765,0.6840258043666577,0.6738394967975272,0.6657381689563957,0.9379746201503268,False,-0.0040809920364544006
